page_path,date,day_of_week_name,source_medium,source,medium,social_network,has_social_source_referral,pageviews,unique_pageviews
/webinars/,2020-04-11,Saturday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,2,2
/webinars/,2020-04-11,Saturday,forms.zohopublic.eu / referral,forms.zohopublic.eu,referral,(not set),No,1,1
/webinars/,2020-04-12,Sunday,google / organic,google,organic,(not set),No,3,2
/webinars/,2020-04-12,Sunday,lm.facebook.com / referral,lm.facebook.com,referral,Facebook,Yes,2,1
/webinars/,2020-04-13,Monday,(direct) / (none),(direct),(none),(not set),No,7,7
/webinars/,2020-04-13,Monday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,3,2
/webinars/,2020-04-13,Monday,google / cpc,google,cpc,(not set),No,5,5
/webinars/,2020-04-13,Monday,google / organic,google,organic,(not set),No,7,5
/webinars/,2020-04-13,Monday,gstatic.com / referral,gstatic.com,referral,(not set),No,1,1
/webinars/,2020-04-13,Monday,l.facebook.com / referral,l.facebook.com,referral,Facebook,Yes,1,1
/webinars/,2020-04-13,Monday,t.co / referral,t.co,referral,Twitter,Yes,2,2
/webinars/,2020-04-14,Tuesday,(direct) / (none),(direct),(none),(not set),No,7,7
/webinars/,2020-04-14,Tuesday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/,2020-04-14,Tuesday,bing / organic,bing,organic,(not set),No,1,1
/webinars/,2020-04-14,Tuesday,google / cpc,google,cpc,(not set),No,9,8
/webinars/,2020-04-14,Tuesday,google / organic,google,organic,(not set),No,7,6
/webinars/,2020-04-14,Tuesday,t.co / referral,t.co,referral,Twitter,Yes,3,2
/webinars/,2020-04-15,Wednesday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/,2020-04-15,Wednesday,google / cpc,google,cpc,(not set),No,5,4
/webinars/,2020-04-15,Wednesday,google / organic,google,organic,(not set),No,6,6
/webinars/,2020-04-15,Wednesday,hootsuite.com / referral,hootsuite.com,referral,HootSuite,Yes,1,1
/webinars/,2020-04-15,Wednesday,uk.search.yahoo.com / referral,uk.search.yahoo.com,referral,(not set),No,1,1
/webinars/,2020-04-15,Wednesday,ux.btmail.bt.com / referral,ux.btmail.bt.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1584633159,2020-03-19,Thursday,Website Subscribers / email,Website Subscribers,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1584633159,2020-04-12,Sunday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1584970506,2020-03-23,Monday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585118085,2020-03-25,Wednesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585562676,2020-03-30,Monday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585578056,2020-03-30,Monday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585578158,2020-03-30,Monday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585645037,2020-03-31,Tuesday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585647757,2020-03-31,Tuesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585753604,2020-04-01,Wednesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1585929109,2020-04-03,Friday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586252676,2020-04-07,Tuesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586269278,2020-04-07,Tuesday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586421950,2020-04-09,Thursday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586431262,2020-04-09,Thursday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586432823,2020-04-09,Thursday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586516409,2020-04-10,Friday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586520669,2020-04-10,Friday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586769400,2020-04-13,Monday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/?elementor-preview=19875&ver=1586775164,2020-04-13,Monday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/?fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,2020-03-31,Tuesday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,2020-03-19,Thursday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,2020-03-19,Thursday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,2020-03-19,Thursday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-12,Sunday,l.facebook.com / referral,l.facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-13,Monday,google / organic,google,organic,(not set),No,1,1
/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-03-19,Thursday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-04-04,Saturday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,2,1
/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,2020-03-19,Thursday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,2020-03-19,Thursday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,2020-03-19,Thursday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,2020-03-19,Thursday,facebook.com / referral,facebook.com,referral,Facebook,Yes,1,1
/webinars/?preview_id=19875&preview_nonce=295af978d6&preview=true,2020-04-10,Friday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
/webinars/?preview_id=19875&preview_nonce=55f2ba9986&preview=true,2020-04-03,Friday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/?preview_id=19875&preview_nonce=dda609d1fc&preview=true,2020-04-10,Friday,analytics.google.com / referral,analytics.google.com,referral,(not set),No,1,1
