page_title,page_path,date,day_of_week_name,url,after_?,pageviews,unique_pageviews
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/Edinburgh/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/Glasgow/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/webinars/,NA,4,4
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/,NA,9,7
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/2020-new-data-analysis/,NA,2,2
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/2020-new-short-course/,NA,2,1
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/webinars/,NA,6,6
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/,NA,8,7
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/about-us/,NA,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/data-analysis/apply/,NA,3,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/professional-software-development/cost-and-funding/,NA,2,2
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/the-codeclan-experience/a-typical-day/,NA,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/webinars/,NA,19,14
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/,NA,7,6
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/2020-new-data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/about-us/,NA,2,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/blog/meet-the-team-katie-jeffree/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/webinars/,NA,19,12
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/,NA,4,3
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/courses/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/courses/data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/events/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/webinars/,NA,6,4
Webinars - CodeClan,/webinars/,2020-04-11,Saturday,/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-11,Saturday,/webinars/,NA,3,3
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/,NA,3,2
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/courses/professional-software-development/,NA,2,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/,NA,12,11
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/2020-new-managing-software-development-teams/,elementor-preview=26878&ver=1586774452,1,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/Edinburgh/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/webinars/,NA,12,10
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/,NA,9,8
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/Glasgow/,NA,1,1
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/webinars/,NA,10,9
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584633159,2020-03-19,Thursday,/for-employers/graduates-for-hire/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584633159,2020-04-12,Sunday,/webinars/,elementor-preview=19875&ver=1584633159,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584970506,2020-03-23,Monday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585118085,2020-03-25,Wednesday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585562676,2020-03-30,Monday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585578056,2020-03-30,Monday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585578158,2020-03-30,Monday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585645037,2020-03-31,Tuesday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585647757,2020-03-31,Tuesday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585753604,2020-04-01,Wednesday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585929109,2020-04-03,Friday,/2020-new-data-analysis/,preview_id=26451&preview_nonce=ce58be89ae&preview=true,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586252676,2020-04-07,Tuesday,/2020-new-data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586269278,2020-04-07,Tuesday,/2020-new-short-course/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586421950,2020-04-09,Thursday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586431262,2020-04-09,Thursday,/2020-new-data-analysis/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586432823,2020-04-09,Thursday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586516409,2020-04-10,Friday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586520669,2020-04-10,Friday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586769400,2020-04-13,Monday,/,NA,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586775164,2020-04-13,Monday,/2020-new-managing-software-development-teams/,elementor-preview=26878&ver=1586774452,1,1
